KEGG ID,InChIKey,InChIKey14
C01869,YRCWQPVGYLYSOX-VIFPVBQESA-N,YRCWQPVGYLYSOX
C10620,YFEPHJVWLFGWKH-AWEZNQCLSA-N,YFEPHJVWLFGWKH
C10101,WEYVVCKOOFYHRW-GOSISDBHSA-N,WEYVVCKOOFYHRW
C10539,VVPGAJNPGZZNBM-SJORKVTESA-N,VVPGAJNPGZZNBM
C09621,RGZSQWQPBWRIAQ-CABCVRRESA-N,RGZSQWQPBWRIAQ
C09462,JZUTXVTYJDCMDU-RTBURBONSA-N,JZUTXVTYJDCMDU
C11393,WUOACPNHFRMFPN-SECBINFHSA-N,WUOACPNHFRMFPN
C11392,LFJQCDVYDGGFCH-SNVBAGLBSA-N,LFJQCDVYDGGFCH
C07283,DBTMGCOVALSLOR-OSNZIRSFSA-N,DBTMGCOVALSLOR
C05131,AHPWEWASPTZMEK-PEBGCTIMSA-N,AHPWEWASPTZMEK
C10785,YLKVIMNNMLKUGJ-FPLPWBNLSA-N,YLKVIMNNMLKUGJ
C11396,KRCZYMFUWVJCLI-OPRDCNLKSA-N,KRCZYMFUWVJCLI
C11411,KRCZYMFUWVJCLI-KXUCPTDWSA-N,KRCZYMFUWVJCLI
C00451,ODBLHEXUDAPZAU-ZAFYKAAXSA-N,ODBLHEXUDAPZAU
C11397,KRCZYMFUWVJCLI-BBBLOLIVSA-N,KRCZYMFUWVJCLI
C11410,KRCZYMFUWVJCLI-UTLUCORTSA-N,KRCZYMFUWVJCLI
C11398,AZOCECCLWFDTAP-RKDXNWHRSA-N,AZOCECCLWFDTAP
C11412,AZOCECCLWFDTAP-BDAKNGLRSA-N,AZOCECCLWFDTAP
C09837,KGEKLUUHTZCSIP-SQLBVSGCSA-N,KGEKLUUHTZCSIP
C11416,KRCZYMFUWVJCLI-LPEHRKFASA-N,KRCZYMFUWVJCLI
C04617,ODBLHEXUDAPZAU-OKKQSCSOSA-N,ODBLHEXUDAPZAU
C11387,LHXDLQBQYFFVNW-XCBNKYQSSA-N,LHXDLQBQYFFVNW
C11401,AZOCECCLWFDTAP-DTWKUNHWSA-N,AZOCECCLWFDTAP
C11415,AZOCECCLWFDTAP-IUCAKERBSA-N,AZOCECCLWFDTAP
C09262,JATBXVRRSYYPIL-SKGLXBPESA-N,JATBXVRRSYYPIL
C11404,NQYDFAGFKCSWGI-YGPZHTELSA-N,NQYDFAGFKCSWGI
C04515,,
C04031,,
C11419,NJOIWWRMLFSDTM-VIFPVBQESA-M,NJOIWWRMLFSDTM
C11421,VMTHAXKUEKKCEY-PNPVFPMQSA-N,VMTHAXKUEKKCEY
C11417,NQYDFAGFKCSWGI-GKAPJAKFSA-N,NQYDFAGFKCSWGI
C03654,ZKLLSNQJRLJIGT-VRLPGEHNSA-N,ZKLLSNQJRLJIGT
C11395,BAVONGHXFVOKBV-NXEZZACHSA-N,BAVONGHXFVOKBV
C11402,DNWZWUWUDAGNJB-RKDXNWHRSA-N,DNWZWUWUDAGNJB
C11408,BAVONGHXFVOKBV-UWVGGRQHSA-N,BAVONGHXFVOKBV
C11414,DNWZWUWUDAGNJB-BDAKNGLRSA-N,DNWZWUWUDAGNJB
C11568,AKCPGFVZRKPWCP-UHFFFAOYSA-N,AKCPGFVZRKPWCP
C11406,QJXGZJIBSSFJPK-YGPZHTELSA-N,QJXGZJIBSSFJPK
C11420,QJXGZJIBSSFJPK-GKAPJAKFSA-N,QJXGZJIBSSFJPK
C07357,VWKNCZXDXPBMJN-SEACIKGESA-N,VWKNCZXDXPBMJN
C02487,GREPICCJTJBJKO-KCJUWKMLSA-N,GREPICCJTJBJKO
C03326,VIHGYLJIMMKSBR-BREBYQMCSA-N,VIHGYLJIMMKSBR
C11318,HPZJMUBDEAMBFI-WTNAPCKOSA-N,HPZJMUBDEAMBFI
C08454,OIPHBJBKSAKTTI-IVZWYUIFSA-N,OIPHBJBKSAKTTI
C05820,UVSYURUCZPPUQD-VQPBACBFSA-N,UVSYURUCZPPUQD
C04940,,
C09848,NEHNMFOYXAPHSD-SNVBAGLBSA-N,NEHNMFOYXAPHSD
C09902,WUOACPNHFRMFPN-VIFPVBQESA-N,WUOACPNHFRMFPN
C09875,OGLDWXZKYODSOB-SNVBAGLBSA-N,OGLDWXZKYODSOB
C05757,,
C05747,,
C04871,,
C11391,OGLDWXZKYODSOB-JTQLQIEISA-N,OGLDWXZKYODSOB
C11384,NEHNMFOYXAPHSD-JTQLQIEISA-N,NEHNMFOYXAPHSD
C03912,DWAKNKKXGALPNW-BYPYZUCNSA-N,DWAKNKKXGALPNW
C04860,,
C00186,JVTAAEKCZFNVCJ-REOHCLBHSA-N,JVTAAEKCZFNVCJ
C01316,VTZRKUFAIWPNRI-QOLSWGAYSA-N,VTZRKUFAIWPNRI
C01314,LNRYWMBIOOXPID-MLHUMARHSA-N,LNRYWMBIOOXPID
C06163,GBUUKFRQPCPYPW-KKSFZXQISA-N,GBUUKFRQPCPYPW
C07355,WBZXABQRBWTVNN-JINBKUQRSA-N,WBZXABQRBWTVNN
C08489,USOPMHKCANPDTP-WAYWQWQTSA-N,USOPMHKCANPDTP
C05871,,
C05872,,
C05144,AEMOLEFTQBMNLQ-SYJWYVCOSA-N,AEMOLEFTQBMNLQ
C10426,JAMQIUWGGBSIKZ-ZDUSSCGKSA-N,JAMQIUWGGBSIKZ
C10427,NKRBAUXTIWONOV-LBPRGKRZSA-N,NKRBAUXTIWONOV
C10243,XFLTYUCKJRFDOU-UEKZKNBCSA-N,XFLTYUCKJRFDOU
C02108,AXRMSBLBSHJLGO-UHFFFAOYSA-N,AXRMSBLBSHJLGO
C09853,DIOYTQUSBRSEBD-KHQFGBGNSA-N,DIOYTQUSBRSEBD
C04274,FPIGOBKNDYAZTP-UHFFFAOYSA-N,FPIGOBKNDYAZTP
C04097,,
C10500,VTHDRBWIVRFQKI-ATQMDXCCSA-N,VTHDRBWIVRFQKI
C06597,HKAJKOBDBFGGIU-UHFFFAOYSA-N,HKAJKOBDBFGGIU
C10094,XESIWQIMUSNPRO-UHFFFAOYSA-N,XESIWQIMUSNPRO
