file_name,run_order,sample_type,condition,timepoint,group,condition_timepoint,condition_timepoint_group
260226_Hpos_087_dinkel_t8_C.mzML,87,Sample,dinkel,8,C,dinkel_8,dinkel_8_C
260226_Hpos_088_wheat_t8_A.mzML,88,Sample,wheat,8,A,wheat_8,wheat_8_A
260226_Hpos_089_maize_t8_E.mzML,89,Sample,maize,8,E,maize_8,maize_8_E
260226_Hpos_090_spelt_t1_D.mzML,90,Sample,spelt,1,D,spelt_1,spelt_1_D
260226_Hpos_091_buckwheat_t8_F.mzML,91,Sample,buckwheat,8,F,buckwheat_8,buckwheat_8_F
260226_Hpos_092_dinkel_t1_B.mzML,92,Sample,dinkel,1,B,dinkel_1,dinkel_1_B
260226_Hpos_093_maize_t1_G.mzML,93,Sample,maize,1,G,maize_1,maize_1_G
260226_Hpos_094_wheat_t1_B.mzML,94,Sample,wheat,1,B,wheat_1,wheat_1_B
260226_Hpos_095_1_t0.mzML,95,Sample,starter,0,0,starter,starter
260226_Hpos_096_buckwheat_t8_C.mzML,96,Sample,buckwheat,8,C,buckwheat_8,buckwheat_8_C
260226_Hpos_097_buckwheat_t1_C.mzML,97,Sample,buckwheat,1,C,buckwheat_1,buckwheat_1_C
260226_Hpos_098_maize_t1_H.mzML,98,Sample,maize,1,H,maize_1,maize_1_H
260226_Hpos_099_spelt_t1_A.mzML,99,Sample,spelt,1,A,spelt_1,spelt_1_A
260226_Hpos_100_buckwheat_t8_E.mzML,100,Sample,buckwheat,8,E,buckwheat_8,buckwheat_8_E
260226_Hpos_101_buckwheat_t8_D.mzML,101,Sample,buckwheat,8,D,buckwheat_8,buckwheat_8_D
260226_Hpos_102_wheat_t8_G.mzML,102,Sample,wheat,8,G,wheat_8,wheat_8_G
260226_Hpos_103_dinkel_t1_C.mzML,103,Sample,dinkel,1,C,dinkel_1,dinkel_1_C
260226_Hpos_104_buckwheat_t1_E.mzML,104,Sample,buckwheat,1,E,buckwheat_1,buckwheat_1_E
260226_Hpos_105_dinkel_t8_B.mzML,105,Sample,dinkel,8,B,dinkel_8,dinkel_8_B
260226_Hpos_106_buckwheat_t1_D.mzML,106,Sample,buckwheat,1,D,buckwheat_1,buckwheat_1_D
260226_Hpos_107_spelt_t8_D.mzML,107,Sample,spelt,8,D,spelt_8,spelt_8_D
260226_Hpos_108_maize_t1_E.mzML,108,Sample,maize,1,E,maize_1,maize_1_E
260226_Hpos_109_wheat_t8_H.mzML,109,Sample,wheat,8,H,wheat_8,wheat_8_H
260226_Hpos_110_maize_t8_F.mzML,110,Sample,maize,8,F,maize_8,maize_8_F
260226_Hpos_111_maize_t1_F.mzML,111,Sample,maize,1,F,maize_1,maize_1_F
260226_Hpos_112_wheat_t1_H.mzML,112,Sample,wheat,1,H,wheat_1,wheat_1_H
260226_Hpos_113_wheat_t1_G.mzML,113,Sample,wheat,1,G,wheat_1,wheat_1_G
260226_Hpos_114_maize_t8_G.mzML,114,Sample,maize,8,G,maize_8,maize_8_G
260226_Hpos_115_wheat_t8_B.mzML,115,Sample,wheat,8,B,wheat_8,wheat_8_B
260226_Hpos_116_maize_t8_H.mzML,116,Sample,maize,8,H,maize_8,maize_8_H
260226_Hpos_117_buckwheat_t1_F.mzML,117,Sample,buckwheat,1,F,buckwheat_1,buckwheat_1_F
260226_Hpos_118_wheat_t1_A.mzML,118,Sample,wheat,1,A,wheat_1,wheat_1_A
260226_Hpos_119_QC.mzML,119,Pooled Sample,Pooled Sample,,0,Pooled Sample,Pooled Sample
